0,1,2,3,4,5
0.912520942,0.303711624,0.282082058,-1.293723409,-1.319709186,-1.891897416
0.913158444,0.311925294,0.292564033,-1.296630748,-1.349277716,-1.88738627
0.914186979,0.319010576,0.3017495,-1.298675363,-1.375501361,-1.882869047
0.915670863,0.324753155,0.309417457,-1.299643775,-1.39773668,-1.878371784
0.917644727,0.32902888,0.31544446,-1.299405113,-1.415614892,-1.873911159
0.920116538,0.331794937,0.319794988,-1.297903112,-1.42901483,-1.869495449
0.917644727,0.32902888,0.31544446,-1.299405113,-1.415614892,-1.873911159
0.915670863,0.324753155,0.309417457,-1.299643775,-1.39773668,-1.878371784
0.914186979,0.319010576,0.3017495,-1.298675363,-1.375501361,-1.882869047
0.913158444,0.311925294,0.292564033,-1.296630748,-1.349277716,-1.88738627
0.912520942,0.303711624,0.282082058,-1.293723409,-1.319709186,-1.891897416
0.912177456,0.294682891,0.270631775,-1.290257452,-1.287740906,-1.896366131
0.911995248,0.285260255,0.258658218,-1.28663561,-1.254646753,-1.900744792
0.911802842,0.275981552,0.246732898,-1.283367259,-1.222056376,-1.904973546
0.911387002,0.26751013,0.235563434,-1.281076425,-1.191982246,-1.908979356
0.910489715,0.26064368,0.226003197,-1.280509792,-1.166846691,-1.912675044
0.908805174,0.256323071,0.219060946,-1.282544714,-1.149508936,-1.915958334
0.905976756,0.255641191,0.215910465,-1.288197225,-1.143292145,-1.918710897
0.901594005,0.259851777,0.217900203,-1.298630044,-1.152010461,-1.920797392
0.895189613,0.270378251,0.22656291,-1.31516059,-1.179996044,-1.922064514
0.886236403,0.288822555,0.243625279,-1.339268988,-1.232126115,-1.922340032
0.874144305,0.31697399,0.271017579,-1.372606078,-1.313849993,-1.921431835
0.858257344,0.356818044,0.310883296,-1.417001428,-1.431216136,-1.919126979
0.837850615,0.410545235,0.365588772,-1.474471339,-1.590899182,-1.915190725
0.81212727,0.480559939,0.437732841,-1.547226858,-1.800226987,-1.909365584
0.81212727,0.480559939,0.437732841,-1.547226858,-1.800226987,-1.909365584
0.837850615,0.410545235,0.365588772,-1.474471339,-1.590899182,-1.915190725
0.858257344,0.356818044,0.310883296,-1.417001428,-1.431216136,-1.919126979
0.874144305,0.31697399,0.271017579,-1.372606078,-1.313849993,-1.921431835
0.886236403,0.288822555,0.243625279,-1.339268988,-1.232126115,-1.922340032
0.895189613,0.270378251,0.22656291,-1.31516059,-1.179996044,-1.922064514
0.901594005,0.259851777,0.217900203,-1.298630044,-1.152010461,-1.920797392
0.905976756,0.255641191,0.215910465,-1.288197225,-1.143292145,-1.918710897
0.908805174,0.256323071,0.219060946,-1.282544714,-1.149508936,-1.915958334
0.910489715,0.26064368,0.226003197,-1.280509792,-1.166846691,-1.912675044
0.911387002,0.26751013,0.235563434,-1.281076425,-1.191982246,-1.908979356
0.911802842,0.275981552,0.246732898,-1.283367259,-1.222056376,-1.904973546
0.911995248,0.285260255,0.258658218,-1.28663561,-1.254646753,-1.900744792
0.912177456,0.294682891,0.270631775,-1.290257452,-1.287740906,-1.896366131
0.912520942,0.303711624,0.282082058,-1.293723409,-1.319709186,-1.891897416
0.913158444,0.311925294,0.292564033,-1.296630748,-1.349277716,-1.88738627
0.914186979,0.319010576,0.3017495,-1.298675363,-1.375501361,-1.882869047
0.915670863,0.324753155,0.309417457,-1.299643775,-1.39773668,-1.878371784
0.917644727,0.32902888,0.31544446,-1.299405113,-1.415614892,-1.873911159
0.920116538,0.331794937,0.319794988,-1.297903112,-1.42901483,-1.869495449
0.917644727,0.32902888,0.31544446,-1.299405113,-1.415614892,-1.873911159
0.915670863,0.324753155,0.309417457,-1.299643775,-1.39773668,-1.878371784
0.914186979,0.319010576,0.3017495,-1.298675363,-1.375501361,-1.882869047
0.913158444,0.311925294,0.292564033,-1.296630748,-1.349277716,-1.88738627
0.912520942,0.303711624,0.282082058,-1.293723409,-1.319709186,-1.891897416
0.912177456,0.294682891,0.270631775,-1.290257452,-1.287740906,-1.896366131
0.911995248,0.285260255,0.258658218,-1.28663561,-1.254646753,-1.900744792
0.911802842,0.275981552,0.246732898,-1.283367259,-1.222056376,-1.904973546
0.911387002,0.26751013,0.235563434,-1.281076425,-1.191982246,-1.908979356
0.910489715,0.26064368,0.226003197,-1.280509792,-1.166846691,-1.912675044
0.908805174,0.256323071,0.219060946,-1.282544714,-1.149508936,-1.915958334
0.905976756,0.255641191,0.215910465,-1.288197225,-1.143292145,-1.918710897
0.901594005,0.259851777,0.217900203,-1.298630044,-1.152010461,-1.920797392
0.895189613,0.270378251,0.22656291,-1.31516059,-1.179996044,-1.922064514
0.886236403,0.288822555,0.243625279,-1.339268988,-1.232126115,-1.922340032
0.874144305,0.31697399,0.271017579,-1.372606078,-1.313849993,-1.921431835
0.858257344,0.356818044,0.310883296,-1.417001428,-1.431216136,-1.919126979
0.837850615,0.410545235,0.365588772,-1.474471339,-1.590899182,-1.915190725
0.81212727,0.480559939,0.437732841,-1.547226858,-1.800226987,-1.909365584
0.81212727,0.480559939,0.437732841,-1.547226858,-1.800226987,-1.909365584
0.837850615,0.410545235,0.365588772,-1.474471339,-1.590899182,-1.915190725
0.858257344,0.356818044,0.310883296,-1.417001428,-1.431216136,-1.919126979
0.874144305,0.31697399,0.271017579,-1.372606078,-1.313849993,-1.921431835
0.886236403,0.288822555,0.243625279,-1.339268988,-1.232126115,-1.922340032
0.895189613,0.270378251,0.22656291,-1.31516059,-1.179996044,-1.922064514
0.901594005,0.259851777,0.217900203,-1.298630044,-1.152010461,-1.920797392
0.905976756,0.255641191,0.215910465,-1.288197225,-1.143292145,-1.918710897
0.908805174,0.256323071,0.219060946,-1.282544714,-1.149508936,-1.915958334
0.910489715,0.26064368,0.226003197,-1.280509792,-1.166846691,-1.912675044
0.911387002,0.26751013,0.235563434,-1.281076425,-1.191982246,-1.908979356
0.911802842,0.275981552,0.246732898,-1.283367259,-1.222056376,-1.904973546
0.911995248,0.285260255,0.258658218,-1.28663561,-1.254646753,-1.900744792
0.912177456,0.294682891,0.270631775,-1.290257452,-1.287740906,-1.896366131
0.912520942,0.303711624,0.282082058,-1.293723409,-1.319709186,-1.891897416
0.913158444,0.311925294,0.292564033,-1.296630748,-1.349277716,-1.88738627
0.914186979,0.319010576,0.3017495,-1.298675363,-1.375501361,-1.882869047
0.915670863,0.324753155,0.309417457,-1.299643775,-1.39773668,-1.878371784
0.917644727,0.32902888,0.31544446,-1.299405113,-1.415614892,-1.873911159
0.920116538,0.331794937,0.319794988,-1.297903112,-1.42901483,-1.869495449
0.917644727,0.32902888,0.31544446,-1.299405113,-1.415614892,-1.873911159
0.915670863,0.324753155,0.309417457,-1.299643775,-1.39773668,-1.878371784
0.914186979,0.319010576,0.3017495,-1.298675363,-1.375501361,-1.882869047
0.913158444,0.311925294,0.292564033,-1.296630748,-1.349277716,-1.88738627
0.912520942,0.303711624,0.282082058,-1.293723409,-1.319709186,-1.891897416
0.912177456,0.294682891,0.270631775,-1.290257452,-1.287740906,-1.896366131
0.911995248,0.285260255,0.258658218,-1.28663561,-1.254646753,-1.900744792
0.911802842,0.275981552,0.246732898,-1.283367259,-1.222056376,-1.904973546
0.911387002,0.26751013,0.235563434,-1.281076425,-1.191982246,-1.908979356
0.910489715,0.26064368,0.226003197,-1.280509792,-1.166846691,-1.912675044
0.908805174,0.256323071,0.219060946,-1.282544714,-1.149508936,-1.915958334
0.905976756,0.255641191,0.215910465,-1.288197225,-1.143292145,-1.918710897
0.901594005,0.259851777,0.217900203,-1.298630044,-1.152010461,-1.920797392
0.895189613,0.270378251,0.22656291,-1.31516059,-1.179996044,-1.922064514
0.886236403,0.288822555,0.243625279,-1.339268988,-1.232126115,-1.922340032
0.874144305,0.31697399,0.271017579,-1.372606078,-1.313849993,-1.921431835
0.858257344,0.356818044,0.310883296,-1.417001428,-1.431216136,-1.919126979
0.837850615,0.410545235,0.365588772,-1.474471339,-1.590899182,-1.915190725
0.81212727,0.480559939,0.437732841,-1.547226858,-1.800226987,-1.909365584
